customer_id,customer_name,email,registration_date,customer_type
1,Rahul Iyer,rahul.iyer1@yahoo.com,2025-02-24 01:00:38,REGULAR
2,Meera Iyer,meera.iyer2@mail.com,2023-12-09 10:37:19,REGULAR
3,Arjun Sharma,arjun.sharma3@yahoo.com,2024-10-18 12:12:24,REGULAR
4,Vikram Iyer,vikram.iyer4@outlook.com,2023-06-08 18:40:31,REGULAR
5,Sneha Menon,sneha.menon5@outlook.com,2025-07-26 20:32:16,REGULAR
6,Priya Joshi,priya.joshi6@gmail.com,2024-08-11 00:47:04,REGULAR
7,Neha Pillai,neha.pillai7@outlook.com,2025-06-15 21:14:53,REGULAR
8,Rahul Verma,rahul.verma8@yahoo.com,2024-03-25 13:09:54,VIP
9,Ananya Singh,ananya.singh9@gmail.com,2024-08-13 12:07:58,REGULAR
10,Deepak Menon,deepak.menon10@yahoo.com,2024-07-29 01:20:48,REGULAR
11,Shreya Mishra,shreya.mishra11@gmail.com,2025-08-04 06:02:59,REGULAR
12,Meera Singh,meera.singh12@yahoo.com,2024-12-19 02:18:35,REGULAR
13,Payal Chauhan,payal.chauhan13@yahoo.com,2025-11-29 12:16:09,REGULAR
14,Rajesh Verma,rajesh.verma14@yahoo.com,2023-02-19 20:47:01,PREMIUM
15,Karan Mishra,karan.mishra15@gmail.com,2023-11-24 18:00:37,VIP
16,Ajay Rao,ajay.rao16@yahoo.com,2025-10-15 04:31:28,REGULAR
17,Gaurav Joshi,gaurav.joshi17@yahoo.com,2024-02-16 11:26:54,REGULAR
18,Tanvi Chauhan,tanvi.chauhan18@outlook.com,2025-06-27 02:56:43,REGULAR
19,Ajay Kapoor,ajay.kapoor19@outlook.com,2023-12-07 16:52:13,VIP
20,Vikram Agarwal,vikram.agarwal20@mail.com,2023-05-22 05:20:54,PREMIUM
21,Ananya Gupta,ananya.gupta21@yahoo.com,2025-09-01 16:53:02,REGULAR
22,Shreya Chatterjee,shreya.chatterjee22@gmail.com,2024-08-20 17:09:54,REGULAR
23,Manoj Agarwal,manoj.agarwal23@outlook.com,2025-05-09 09:45:22,PREMIUM
24,Amit Gupta,amit.gupta24@outlook.com,2025-09-22 16:47:16,REGULAR
25,Neha Chatterjee,neha.chatterjee25@yahoo.com,2024-12-05 20:02:45,REGULAR
26,Tanvi Mishra,tanvi.mishra26@,2023-06-15 07:16:58,PREMIUM
27,Neha Agarwal,neha.agarwal27@yahoo.com,2023-08-26 10:15:39,REGULAR
28,Anita Chauhan,anita.chauhan28@gmail.com,2025-07-19 10:16:21,REGULAR
29,Amit Gupta,amit.gupta29@outlook.com,2024-04-22 16:57:27,REGULAR
30,Kavya Mehta,kavya.mehta30@gmail.com,2023-05-14 01:23:31,PREMIUM
31,Vivek Patel,vivek.patel31yahoo.com,2025-01-08 07:48:40,VIP
32,Anita Mishra,anita.mishra32@mail.com,2023-11-26 00:24:33,VIP
33,Rajesh Iyer,rajesh.iyer33outlook.com,2025-11-09 10:18:17,REGULAR
34,Manoj Agarwal,manoj.agarwal34@mail.com,2023-07-07 23:21:48,REGULAR
35,Rahul Rao,rahul.rao35@gmail.com,2025-07-02 21:44:19,REGULAR
36,Ajay Singh,ajay.singh36@gmail.com,2023-04-21 06:48:50,PREMIUM
37,Priya Singh,priya.singh37@gmail.com,2023-02-18 19:09:35,PREMIUM
38,Rahul Agarwal,rahul.agarwal38@yahoo.com,2024-03-08 14:23:05,PREMIUM
39,Rohan Chauhan,rohan.chauhan39@yahoo.com,2025-06-06 02:01:46,REGULAR
40,Kavya Bose,kavya.bose40@mail.com,2023-10-23 18:59:46,REGULAR
41,Shreya Chatterjee,shreya.chatterjee41@outlook.com,2024-10-20 00:09:20,REGULAR
42,Ananya Verma,ananya.verma42@gmail.com,2023-04-05 03:48:15,REGULAR
43,Suresh Gupta,suresh.gupta43@yahoo.com,2023-10-25 14:59:44,REGULAR
44,Manoj Reddy,manoj.reddy44@mail.com,2023-10-13 00:55:47,REGULAR
45,Kavya Patel,kavya.patel45@mail.com,2025-05-04 21:36:53,REGULAR
46,Deepak Chauhan,deepak.chauhan46@gmail.com,2023-05-25 21:05:17,VIP
47,Ananya Singh,ananya.singh47@yahoo.com,2024-09-23 08:12:51,REGULAR
48,Rohan Kapoor,rohan.kapoor48@gmail.com,2023-09-13 18:07:00,REGULAR
49,Karan Mishra,karan.mishra49@mail.com,2024-03-19 02:51:43,REGULAR
50,Tanvi Chauhan,tanvi.chauhan50@mail.com,2023-08-29 11:14:38,REGULAR
51,Rohan Verma,rohan.verma51@gmail.com,2024-05-02 04:02:05,REGULAR
52,Ajay Bose,ajay.bose52@yahoo.com,2023-03-30 08:37:27,VIP
53,Rahul Nair,rahul.nair53@gmail.com,2025-07-13 08:31:00,REGULAR
54,Ananya Singh,ananya.singh54@mail.com,2023-07-06 05:41:48,VIP
55,Ajay Singh,ajay.singh55@gmail.com,2025-08-20 04:12:59,REGULAR
56,Shreya Mehta,shreya.mehta56@outlook.com,2024-02-10 02:02:59,REGULAR
57,Nikhil Rao,nikhil.rao57@yahoo.com,2024-02-17 14:49:36,REGULAR
58,Shreya Das,shreya.das58@mail.com,2024-05-06 03:56:24,VIP
59,Payal Patel,payal.patel59@gmail.com,2024-12-12 22:07:21,REGULAR
60,Ajay Gupta,ajay.gupta60@gmail.com,2025-04-15 04:27:48,REGULAR
61,Arjun Reddy,arjun.reddy61@outlook.com,2023-04-17 20:43:33,PREMIUM
